Zone,Max_Capacity
Cougar Way on Street Meters,45.0
Thatuna Rd. on Street Meters,30.0
Library Garage,450.0
Green 1 PACCAR South,67.0
CUE Garage,875.0
Wilson Road on Street Meters,35.0
Green 3: College Avenue -or- Idaho St,20.0
Green 3: Washington St street-side & Spark,44.0
Red 5 Tennis Courts Lot,20.0
Columbia Street Lot Top Bays,274.0
ESF Cultural Center Lot,30.0
Green 5 South Beasley,188.0
Yellow 1 IPF Lot,20.0
Red 1 Cooper East,20.0
Green 3: (Gravel lot) Columbia/Spokane,52.0
Green 2 McAllister,20.0
Red 1 Grimes Feed Lot,20.0
Bustad - AMP Marked spots,21.0
Green 3: (Gravel lot) College/Spokane,79.0
Green 4 Gravel Lot,20.0
Daggy Garage,300.0
Fine Arts Garage,250.0
Yellow 2 Carver Farm,20.0
Green 1 Bustad Lot,22.0
Spring Street Lot,20.0
Don't Activate: Lighty East Meters,34.0
McCluskey Services Visitor Spaces,20.0
Green 2 KMac Lot,63.0
Ferdinand's Ice Cream Shoppe Parking,60.0
McEachern Hall_Amp Spots,20.0
Streit-Perham AMP spots,20.0
Green 3: Thermal Fluids/Dana West,20.0
Rogers_AMP Spots,20.0
Stephenson_AMP Spots,20.0
Perham Rear Entrance AMP spot,20.0
Duncan-Dunn Parking,20.0
PACCAR: (Don't Activate),20.0
Olympia Hall_AMP Spots,20.0
Orton_Amp Spots,20.0
Green 3: Football General Parking,335.0
Cougar Way: Football General Parking,38.0
McCoy Hall Lot: Football General Parking,27.0
Streit-Perham Lot: Football General Parking,20.0
B St Lots: Football General Parking,31.0
SPARK: Football General Parking,57.0
Forest Way (Red 4) Lots: Football General Parking,104.0
Thatuna & Linden Lots/Streetside: Football General Parking,69.0
Spokane St Gravel Lots: Football General Parking,63.0
Carver Farms Lot: Football General Parking,68.0
Scott-Coman: AMP Marked Spot,20.0
Regents: AMP Marked Spot,20.0
Yellow 3: Spring Street Lot,44.0
Disability Parking CUE (Don't Activate),20.0
Testing Zone with an extra long label to read (Don't activate),20.0
Student Rec Center,100.0
Environmental Health Services,20.0
Green 1 Rotunda/Gannon-Goldsworthy,20.0
Green 3: Spokane St,28.0
Green 3: Washington St,51.0
Green 3: Commons,54.0
McClusky: Football General Parking,157.0
Cougar Health Services: Patron Parking,99.0
